,Symbol,Consensus,Consensus Score
75,BF.B,Hold,2.7916666666666665
76,BLDR,Buy,4.115384615384615
77,BG,Buy,3.9
78,BXP,Hold,3.4
79,CHRW,Buy,3.6129032258064515
80,CDNS,Buy,4.0
81,CZR,Buy,3.8095238095238093
82,CPT,Buy,3.5517241379310347
83,CPB,Hold,3.32
84,COF,Buy,3.730769230769231
85,CAH,Buy,3.909090909090909
86,KMX,Buy,3.727272727272727
87,CCL,Buy,4.066666666666666
88,CARR,Buy,3.7096774193548385
89,CTLT,Hold,2.642857142857143
90,CAT,Hold,3.4193548387096775
91,CBOE,Hold,3.48
92,CBRE,Buy,4.111111111111111
93,CDW,Buy,3.764705882352941
94,CE,Hold,2.7142857142857144
95,COR,Buy,3.8636363636363638
96,CNC,Buy,3.7083333333333335
97,CNP,Hold,3.4545454545454546
98,CF,Buy,3.5172413793103448
99,CRL,Hold,3.28
100,SCHW,Buy,3.896551724137931
101,CHTR,Hold,3.4193548387096775
102,CVX,Buy,3.9310344827586206
103,CMG,Buy,4.1
104,CB,Buy,3.6875
105,CHD,Hold,3.3666666666666667
106,CI,Buy,4.090909090909091
107,CINF,Buy,3.8125
108,CTAS,Buy,3.56
109,CSCO,Buy,3.7096774193548385
110,C,Buy,4.074074074074074
111,CFG,Buy,3.769230769230769
112,CLX,Hold,2.7586206896551726
113,CME,Hold,3.4545454545454546
114,CMS,Buy,3.8260869565217392
115,KO,Buy,3.9722222222222223
116,CTSH,Hold,3.3333333333333335
117,CL,Buy,3.71875
118,CMCSA,Buy,3.7948717948717947
119,CAG,Hold,3.3181818181818183
120,COP,Buy,4.151515151515151
121,ED,Hold,2.740740740740741
122,STZ,Buy,3.8
123,CEG,Buy,4.0
124,COO,Buy,3.9565217391304346
125,CPRT,Buy,4.0
126,GLW,Buy,3.95
127,CPAY,Buy,4.08
128,CTVA,Buy,3.9655172413793105
129,CSGP,Buy,4.095238095238095
130,COST,Buy,3.933333333333333
131,CTRA,Buy,4.129032258064516
132,CRWD,Buy,4.035714285714286
133,CCI,Hold,3.28
134,CSX,Buy,3.96875
135,CMI,Buy,3.5714285714285716
136,CVS,Buy,3.787878787878788
137,DHI,Hold,3.4615384615384617
138,DHR,Buy,4.151515151515151
139,DRI,Buy,3.861111111111111
140,DVA,Hold,2.625
141,DAY,Buy,3.7916666666666665
142,DECK,Buy,3.7
143,DE,Buy,3.75
144,DELL,Buy,4.033333333333333
145,DAL,Buy,4.296296296296297
146,DVN,Buy,3.911764705882353
147,DXCM,Buy,4.28125
148,FANG,Buy,4.027027027027027
149,DLR,Buy,3.8666666666666667
150,DFS,Buy,3.619047619047619
151,DG,Buy,3.575
152,DLTR,Hold,3.4285714285714284
153,D,Hold,3.44
154,DPZ,Buy,3.972972972972973
155,DOV,Buy,3.9565217391304346
156,DOW,Hold,3.423076923076923
157,DTE,Buy,3.9166666666666665
158,DUK,Buy,3.7083333333333335
159,DD,Buy,3.9615384615384617
160,EMN,Buy,3.72
161,ETN,Buy,3.8484848484848486
162,EBAY,Hold,3.45
163,ECL,Buy,3.774193548387097
164,EIX,Buy,3.869565217391304
165,EW,Buy,3.6666666666666665
166,EA,Buy,3.7142857142857144
167,ELV,Buy,3.892857142857143
168,EMR,Buy,3.9375
169,ENPH,Hold,3.3555555555555556
170,ETR,Buy,3.772727272727273
171,EOG,Buy,3.7222222222222223
172,EPAM,Buy,3.857142857142857
173,EQT,Buy,3.8666666666666667
174,EFX,Buy,4.153846153846154
175,EQIX,Buy,4.121212121212121
176,EQR,Buy,3.566666666666667
177,ERIE,Buy,4.125
178,ESS,Hold,3.3225806451612905
179,EL,Hold,3.3333333333333335
180,EG,Buy,3.9545454545454546
181,EVRG,Buy,4.05
182,ES,Buy,3.7857142857142856
183,EXC,Buy,3.652173913043478
184,EXPE,Buy,3.558139534883721
185,EXPD,Sell,2.409090909090909
186,EXR,Hold,3.347826086956522
187,XOM,Buy,3.75
188,FFIV,Hold,2.736842105263158
189,FDS,Hold,2.642857142857143
190,FICO,Buy,3.7083333333333335
191,FAST,Hold,2.772727272727273
192,FRT,Buy,4.0
193,FDX,Buy,3.8285714285714287
194,FIS,Buy,3.6944444444444446
195,FITB,Buy,3.896551724137931
196,FSLR,Buy,4.133333333333334
197,FE,Buy,3.769230769230769
198,FI,Buy,4.2444444444444445
199,FMC,Buy,3.5416666666666665
200,F,Hold,2.78125
201,FTNT,Buy,3.5625
202,FTV,Buy,3.72
203,FOXA,Buy,3.6333333333333333
204,FOX,Buy,3.6333333333333333
205,BEN,Sell,2.4761904761904763
206,FCX,Buy,3.6666666666666665
207,GRMN,Hold,2.7333333333333334
208,IT,Buy,3.75
209,GE,Buy,4.214285714285714
210,GEHC,Buy,3.923076923076923
211,GEV,Buy,3.933333333333333
212,GEN,Buy,3.7142857142857144
213,GNRC,Buy,3.59375
214,GD,Buy,3.8181818181818183
215,GIS,Hold,3.4
216,GM,Buy,3.7567567567567566
217,GPC,Buy,3.5
218,GILD,Buy,3.8947368421052633
219,GPN,Buy,3.75
220,GL,Buy,3.9
221,GDDY,Buy,3.84
222,GS,Buy,3.966666666666667
223,HAL,Buy,3.911764705882353
224,HIG,Buy,3.64
225,HAS,Buy,4.166666666666667
226,HCA,Buy,3.966666666666667
227,DOC,Buy,4.041666666666667
228,HSIC,Buy,3.761904761904762
229,HSY,Hold,2.696969696969697
230,HES,Buy,3.7
231,HPE,Buy,3.789473684210526
232,HLT,Buy,3.5625
233,HOLX,Buy,3.6785714285714284
234,HD,Buy,3.8958333333333335
235,HON,Buy,3.6451612903225805
236,HRL,Hold,2.6842105263157894
237,HST,Buy,4.08
238,HWM,Buy,4.0
239,HPQ,Hold,3.35
240,HUBB,Buy,3.7142857142857144
241,HUM,Hold,3.4516129032258065
242,HBAN,Buy,3.8214285714285716
243,HII,Hold,2.7
244,IBM,Buy,3.5
245,IEX,Buy,3.8421052631578947
246,IDXX,Buy,3.857142857142857
247,ITW,Hold,2.7857142857142856
248,INCY,Buy,3.8181818181818183
249,IR,Buy,3.88
250,PODD,Buy,4.233333333333333
251,INTC,Hold,2.84
252,ICE,Buy,4.045454545454546
253,IFF,Buy,3.9615384615384617
254,IP,Buy,3.7777777777777777
255,IPG,Buy,3.6
256,INTU,Buy,4.0
257,ISRG,Buy,4.0256410256410255
258,IVZ,Hold,3.3333333333333335
259,INVH,Buy,3.566666666666667
260,IQV,Buy,4.064516129032258
261,IRM,Buy,3.8461538461538463
262,JBHT,Buy,4.0
263,SJM,Hold,3.380952380952381
264,JBL,,
265,JKHY,,
266,J,,
267,JNJ,,
268,JCI,,
269,JPM,,
270,JNPR,,
271,K,,
272,KVUE,,
273,KDP,,
274,KEY,,
275,KEYS,,
276,KMB,,
277,KIM,,
278,KMI,,
279,KKR,,
280,KLAC,,
281,KHC,,
282,KR,,
283,LHX,,
284,LH,,
285,LRCX,,
286,LW,,
287,LVS,,
288,LDOS,,
289,LEN,,
290,LLY,,
291,LIN,,
292,LYV,,
293,LKQ,,
294,LMT,,
295,L,,
296,LOW,,
297,LULU,,
298,LYB,,
299,MTB,,
300,MRO,,
301,MPC,,
302,MKTX,,
303,MAR,,
304,MMC,,
305,MLM,,
306,MAS,,
307,MA,,
308,MTCH,,
309,MKC,,
310,MCD,,
311,MCK,,
312,MDT,,
313,MRK,,
314,META,Buy,4.141025641025641
315,MET,Buy,3.9047619047619047
316,MTD,Hold,3.263157894736842
317,MGM,Buy,4.0
318,MCHP,Buy,3.935483870967742
319,MU,Buy,4.1063829787234045
320,MSFT,Buy,4.246153846153846
321,MAA,Buy,3.6451612903225805
322,MRNA,Hold,3.25
323,MHK,Buy,3.772727272727273
324,MOH,Hold,3.4761904761904763
325,TAP,Hold,3.2
326,MDLZ,Buy,3.9393939393939394
327,MPWR,Buy,3.9565217391304346
328,MNST,Buy,3.696969696969697
329,MCO,Buy,3.7777777777777777
330,MS,Buy,3.6451612903225805
331,MOS,Hold,3.4583333333333335
332,MSI,Buy,4.166666666666667
333,MSCI,Buy,3.875
334,NDAQ,Buy,4.0
335,NTAP,Buy,3.5
336,NFLX,Buy,4.018518518518518
337,NEM,Buy,3.9166666666666665
338,NWSA,Buy,4.1875
339,NWS,Buy,4.1875
340,NEE,Buy,3.8518518518518516
341,NKE,Buy,3.6744186046511627
342,NI,Buy,4.25
343,NDSN,Buy,3.75
344,NSC,Buy,3.78125
345,NTRS,Hold,3.3636363636363638
346,NOC,Buy,3.6206896551724137
347,NCLH,Buy,3.9285714285714284
348,NRG,Buy,3.933333333333333
349,NUE,Buy,3.75
350,NVDA,Buy,4.246376811594203
351,NVR,Buy,3.5454545454545454
352,NXPI,Buy,3.864864864864865
353,ORLY,Buy,3.9444444444444446
354,OXY,Hold,3.4193548387096775
355,ODFL,Hold,3.3666666666666667
356,OMC,Buy,3.8125
357,ON,Buy,3.6666666666666665
358,OKE,Buy,3.727272727272727
359,ORCL,Buy,3.8444444444444446
360,OTIS,Hold,3.409090909090909
361,PCAR,Hold,3.4814814814814814
362,PKG,Buy,3.7857142857142856
363,PLTR,Hold,2.730769230769231
364,PANW,Buy,3.9166666666666665
365,PARA,Hold,2.7096774193548385
366,PH,Buy,4.066666666666666
367,PAYX,Hold,2.6956521739130435
368,PAYC,Hold,3.4615384615384617
369,PYPL,Buy,3.7058823529411766
370,PNR,Buy,3.8
371,PEP,Buy,3.607142857142857
372,PFE,Buy,3.586206896551724
373,PCG,Buy,4.0
374,PM,,
375,PSX,,
376,PNW,,
377,PNC,,
378,POOL,,
379,PPG,,
380,PPL,,
381,PFG,,
382,PG,,
383,PGR,,
384,PLD,,
385,PRU,,
386,PTC,,
387,PEG,,
388,PSA,,
389,PHM,,
390,QRVO,,
391,QCOM,,
392,PWR,,
393,DGX,,
394,RL,,
395,RJF,,
396,O,,
397,REG,,
398,REGN,,
399,RF,,
400,RSG,,
401,RMD,,
402,RVTY,,
403,ROK,,
404,ROL,,
405,ROP,,
406,ROST,,
407,RCL,,
408,RTX,,
409,SPGI,,
410,CRM,,
411,SBAC,,
412,SLB,,
413,STX,,
414,SRE,,
415,NOW,,
416,SHW,,
417,SPG,,
418,SWKS,,
419,SW,,
420,SNA,,
421,SOLV,,
422,SO,,
423,LUV,,
424,SWK,,
425,SBUX,,
426,STT,,
427,STLD,,
428,STE,,
429,SYK,,
430,SMCI,,
431,SYF,,
432,SNPS,,
433,SYY,,
434,TMUS,,
435,TROW,,
436,TTWO,,
437,TPR,,
438,TRGP,,
439,TGT,,
440,TEL,,
441,TDY,,
442,TFX,,
443,TER,,
444,TSLA,,
445,TXN,,
446,TXT,,
447,TMO,,
448,TJX,,
449,TSCO,,
450,TT,,
451,TDG,,
452,TRV,,
453,TRMB,,
454,TFC,,
455,TYL,,
456,TSN,,
457,USB,,
458,UBER,,
459,UDR,,
460,ULTA,,
461,UNP,,
462,UAL,,
463,UPS,,
464,URI,,
465,UNH,,
466,UHS,,
467,VLO,,
468,VTR,,
469,VLTO,,
470,VRSN,,
471,VRSK,,
472,VZ,,
473,VRTX,,
474,VTRS,,
475,VICI,,
476,V,,
477,VST,,
478,VMC,,
479,WRB,,
480,GWW,,
481,WAB,,
482,WBA,,
483,WMT,,
484,DIS,,
485,WBD,,
486,WM,,
487,WAT,,
488,WEC,,
489,WFC,,
490,WELL,,
491,WST,,
492,WDC,,
493,WY,,
494,WMB,,
495,WTW,,
496,WYNN,,
497,XEL,,
498,XYL,,
499,YUM,,
500,ZBRA,,
501,ZBH,,
502,ZTS,,
MMM,,,
AOS,,,
ABT,,,
ABBV,,,
ACN,,,
ADBE,,,
AMD,,,
AES,,,
AFL,,,
A,,,
APD,,,
ABNB,,,
AKAM,,,
ALB,,,
ARE,,,
ALGN,,,
ALLE,,,
LNT,,,
ALL,,,
GOOGL,,,
GOOG,,,
MO,,,
AMZN,,,
AMCR,,,
AMTM,,,
AEE,,,
AEP,,,
AXP,,,
AIG,,,
AMT,,,
AWK,,,
AMP,,,
AME,,,
AMGN,,,
APH,,,
ADI,,,
ANSS,,,
AON,,,
APA,,,
AAPL,,,
AMAT,,,
APTV,,,
ACGL,,,
ADM,,,
ANET,,,
AJG,,,
AIZ,,,
T,,,
ATO,,,
ADSK,,,
ADP,,,
AZO,,,
AVB,,,
AVY,,,
AXON,,,
BKR,,,
BALL,,,
BAC,,,
BAX,,,
BDX,,,
