,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Consensus
337,42.72,15.754724199999998,0.0232,-2.17,29.42,58.72,49055805440.0,6008999936.0,2.887844,1.6448483,Buy
338,28.12,45.35484,0.0070999996,0.62,22.65,30.04,16623195136.0,1270000000.0,1.6356583,1.9395779,Buy
339,31.65,51.048386,0.0063,0.62,23.99,32.87,16625808384.0,1270000000.0,1.6359154,2.1830597,Buy
340,71.56,21.23442,0.0298,3.37,53.95,86.1,147155976192.0,14577999872.0,5.6067963,2.9401371,Buy
341,76.9,24.18239,0.0208,3.18,70.32,107.43,115859849216.0,7200999936.0,2.316641,8.0095825,Buy
342,37.3,22.743902,0.0297,1.64,24.8,38.83,17410856960.0,2324999936.0,3.291713,2.086013,Buy
343,220.22,27.12069,0.0125,8.12,196.83,279.38,12571875328.0,818784000.0,4.71784,4.412607,Buy
344,255.3,22.065687,0.0214,11.57,206.71,277.6,57779748864.0,5888000000.0,4.7469397,4.1899853,Buy
345,112.29,11.493346,0.0274,9.77,76.67,113.91,22005471232.0,1765804416.0,2.8005333,1.8760651,Hold
346,487.27,17.199787,0.0171,28.33,418.6,555.57,70630760448.0,4457999872.0,1.7233319,4.8176346,Buy
347,28.35,24.868422,0.0441200004,1.14,14.69,29.29,12465722368.0,2335180032.0,1.3322719,10.97986,Buy
348,102.44,25.356436,0.0168,4.04,51.26,115.38,20750862336.0,2192999936.0,0.7379921,11.226301,Buy
349,128.43,15.198816,0.018,8.45,112.25,203.0,30157031424.0,4940151808.0,0.96154976,1.4730237,Buy
350,120.07,49.209015,0.00029999999,2.44,63.69,153.13,3052683657216.0,61184000000.0,31.697422,68.84748,Buy
351,8016.18,15.831615,0.0224,506.34,7129.1,9964.77,24919658496.0,2071504000.0,2.4237614,5.751928,Buy
352,208.55,19.937859,0.019199999,10.46,202.25,296.08,53004234752.0,4640000000.0,4.100908,5.631768,Buy
353,1294.42,32.079803,0.0180600004,40.35,947.49,1310.25,74727776256.0,3685244928.0,4.5441327,3.4293329800000003,Buy
354,46.65,12.780822,0.018,3.65,45.17,71.19,43773702144.0,12931000320.0,1.6130635,1.6586077,Hold
355,185.61,32.449303,0.0056,5.72,165.49,233.26,39627362304.0,1971409024.0,6.6886916,9.502868,Hold
356,86.79,11.856557,0.0324,7.32,81.42,107.0,17052585984.0,2420600064.0,1.1053154,4.285291,Buy
357,52.34,12.987593,0.0186199996,4.03,51.955,85.16,22286215168.0,2716600064.0,3.0206718,2.595329,Buy
358,97.17,20.586864,0.041300002,4.72,67.05,118.07,56645545984.0,5612000256.0,2.8417974,3.3613532,Buy
359,170.06,41.57946,0.0083,4.09,106.51,198.31,475651014656.0,21802999808.0,8.838633,53.833492,Buy
360,95.42,23.444715,0.0163,4.07,89.29,106.33,38116569088.0,2507000064.0,2.6831317,6.074324279999999,Hold
361,110.88,14.035442,0.012,7.9,90.04,125.5,58145472512.0,5908100096.0,1.6692687,3.1146069,Hold
362,212.66,23.81411,0.021,8.93,159.57,250.82,19097909248.0,1624999936.0,2.3361073,4.4477444,Buy
363,82.49,412.44998,0.01628000006,0.2,16.145,85.22,187913879552.0,397707008.0,71.009026,41.619576,Hold
364,184.42,47.777203,0.0218400002,3.86,130.045,207.24,121016401920.0,1094400000.0,15.075229,11.597283,Buy
365,10.88,12.22225006,0.0182,-9.06,9.54,14.55,7728977920.0,3124999936.0,0.26774442,0.436422,Hold
366,707.05,29.204874,0.0098,24.21,488.45,718.32,91011473408.0,4962157056.0,4.553738,7.5323052,Buy
367,147.67,31.08842,0.028900001,4.75,114.72,150.71,53170503680.0,2358799872.0,10.011769,13.990525,Hold
368,207.56,24.977135,0.0073,8.31,139.5,242.74,11968324608.0,667798016.0,6.561862,7.711112,Hold
369,88.58,21.396137,0.0100200002,4.14,55.77,93.66,89797091328.0,6120999936.0,2.854598,4.4170737,Buy
370,103.68,25.92,0.0097,4.0,72.03,110.71,17131151360.0,978700032.0,4.1839423,4.8963404,Buy
371,150.69,22.424109,0.0357,6.72,141.51,183.41,208405790720.0,16913000448.0,2.267252,10.635941,Buy
372,26.52,35.36,0.0639,0.75,24.48,31.54,150288580608.0,18365999104.0,2.531176,1.6281925,Buy
373,15.65,12.2265625,0.0064,1.28,15.32,21.72,34328428544.0,9317999616.0,1.3825941,1.2466146,Buy
374,130.2,20.699522,0.0414,6.29,87.82,134.15,202438852608.0,15301000192.0,5.4391265,5.475907900000001,Buy
375,117.87,15.05364,0.0381,7.83,108.91,174.08,48679014400.0,5571999744.0,0.32949555,1.6948252,Buy
376,86.96,16.345863,0.041100003,5.32,65.2,95.42,9887351808.0,1978172032.0,1.969168,1.4934652,Buy
377,200.95,14.625182,0.0319,13.74,139.69,216.26,79563538432.0,4469727744.0,3.8841798,1.6132269,Buy
378,344.25,29.574741,0.0138,11.64,293.51,422.73,13100605440.0,679414976.0,2.4595037,9.151934,Buy
379,115.38,18.285261,0.0222,6.31,113.0,145.6,26768158720.0,2870000128.0,1.4846455,3.4370997,Buy
380,33.6,30.27027,0.0308,1.11,25.35,35.15,24795791360.0,3276000000.0,2.9939377,1.7590702,Buy
381,82.45,35.4807546,0.035,-0.74,72.21,91.98,18858457088.0,-15100000.0,1.3406645,1.6823441,Hold
382,165.99,26.431528,0.0249,6.28,153.52,180.43,389221646336.0,24039999488.0,4.6388373,7.9057918,Buy
383,246.44,17.11389,0.0199,14.4,179.68,270.62,144367271936.0,10823199744.0,2.0062325,5.315446,Buy
