,Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result of Sell,Currency (Result),Total (GBP),Currency (Total),Total USD,Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Price / Share (GBP)
1485,Dividend,2022-08-01,10:52:03,RITM,Rithm Capital,300.0,0.21,USD,,,,52.06,GBP,,11.25,USD,,,,,
1486,Dividend,2022-08-01,10:56:04,NLY,Annaly Capital Management,408.0,0.19,USD,,,,62.3,GBP,,13.46,USD,,,,,
1487,Dividend,2022-08-01,11:07:25,GOOD,Gladstone Commercial,129.0,0.11,USD,,,,11.23,GBP,,2.43,USD,,,,,
1488,Dividend,2022-08-01,11:08:29,LTC,LTC Properties,46.0,0.16,USD,,,,6.07,GBP,,1.31,USD,,,,,
1489,Market buy,2022-08-01,13:30:13,GOOD,Gladstone Commercial,2.0,21.14,USD,1.22495,,GBP,34.57,GBP,,,,,,,,17.2578472590718
1490,Market buy,2022-08-01,13:30:14,GOOD,Gladstone Commercial,5.0,21.14,USD,1.22494,,GBP,86.42,GBP,,,,,,,,17.25798814635819
1491,Dividend,2022-08-02,8:21:40,JPM,JPMorgan Chase & Co,6.0,0.85,USD,,,,4.18,GBP,,0.9,USD,,,,,
1492,Dividend,2022-08-02,7:38:02,T,AT&T,78.0,0.24,USD,,,,15.09,GBP,,3.25,USD,,,,,
1493,Dividend,2022-08-02,8:21:40,JPM,JPMorgan Chase & Co,16.0,0.85,USD,,,,11.15,GBP,,2.4,USD,,,,,
1494,Market buy,2022-08-02,13:30:08,GOOD,Gladstone Commercial,2.0,21.24,USD,1.22197,,GBP,34.81,GBP,,,,,,,,17.38176878319435
1495,Market buy,2022-08-04,13:30:04,GOOD,Gladstone Commercial,1.0,20.49,USD,1.21095,,GBP,16.95,GBP,,,,,,,,16.92059952929518
1496,Dividend,2022-08-05,7:40:58,PSA,Public Storage,4.0,11.18,USD,,,,36.77,GBP,,7.89,USD,,,,,
1497,Market buy,2022-08-05,13:30:03,OHI,Omega Healthcare Investors,1.0,31.75,USD,1.20232,,GBP,26.45,GBP,,,,,,,,26.407279260097145
1498,Market buy,2022-08-05,13:30:06,NYMT,New York Mortgage Trust,10.0,2.96,USD,1.20219,,GBP,24.66,GBP,,,,,,,,2.462173200575616
1499,Dividend,2022-08-05,7:40:58,PSA,Public Storage,9.0,11.18,USD,,,,82.72,GBP,,17.75,USD,,,,,
1500,Market buy,2022-08-05,13:30:04,GOOD,Gladstone Commercial,5.0,20.25,USD,1.20223,,GBP,84.35,GBP,,,,,,,,16.8436987930762
1501,Dividend,2022-08-12,8:02:51,AAPL,Apple,12.0,0.2,USD,,,,1.93,GBP,,0.41,USD,,,,,
1502,Dividend,2022-08-12,8:02:51,AAPL,Apple,25.0,0.2,USD,,,,4.01,GBP,,0.86,USD,,,,,
1503,Dividend,2022-08-15,8:20:40,SBNY,Signature Bank,14.0,0.48,USD,,,,5.51,GBP,,1.18,USD,,,,,
1504,Dividend,2022-08-15,9:22:43,COST,Costco Wholesale,4.0,0.77,USD,,,,2.54,GBP,,0.54,USD,,,,,
1505,Dividend,2022-08-15,8:20:40,SBNY,Signature Bank,5.0,0.48,USD,,,,1.97,GBP,,0.42,USD,,,,,
1506,Dividend,2022-08-15,9:22:43,COST,Costco Wholesale,6.0,0.77,USD,,,,3.81,GBP,,0.81,USD,,,,,
1507,Dividend,2022-08-16,9:37:15,ABBV,AbbVie,7.0,1.2,USD,,,,6.97,GBP,,1.48,USD,,,,,
1508,Dividend,2022-08-16,12:36:13,O,Realty Income,44.0,0.21,USD,,,,7.69,GBP,,1.63,USD,,,,,
1509,Dividend,2022-08-16,9:37:15,ABBV,AbbVie,22.0,1.2,USD,,,,21.91,GBP,,4.65,USD,,,,,
1510,Dividend,2022-08-16,9:58:52,AOS,A O Smith,74.0,0.24,USD,,,,14.64,GBP,,3.11,USD,,,,,
1511,Dividend,2022-08-16,12:36:13,O,Realty Income,30.0,0.21,USD,,,,5.25,GBP,,1.11,USD,,,,,
1512,Dividend,2022-08-16,12:39:55,OHI,Omega Healthcare Investors,88.0,0.57,USD,,,,41.63,GBP,,8.84,USD,,,,,
1513,Market buy,2022-08-16,16:32:43,SPG,Simon Property,1.0,114.74,USD,1.20788,,GBP,95.13,GBP,,,,,,,,94.99288008742589
1514,Dividend,2022-08-17,8:11:02,HRZN,Horizon Technology Finance,60.0,0.09,USD,,,,4.22,GBP,,0.9,USD,,,,,
1515,Dividend,2022-08-17,8:11:02,HRZN,Horizon Technology Finance,215.0,0.09,USD,,,,15.12,GBP,,3.23,USD,,,,,
1516,Deposit,2022-08-19,16:25:35,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1517,Market buy,2022-08-19,19:44:17,DLR,Digital Realty Trust,1.0,130.03,USD,1.18204,,GBP,110.17,GBP,,,,,,,,110.00473757233259
1518,Market buy,2022-08-19,19:45:00,OHI,Omega Healthcare Investors,4.0,33.32,USD,1.18218,,GBP,112.91,GBP,,,,,,,,28.18521714121369
1519,Dividend,2022-08-22,7:27:58,PETS,PetMed Express,10.0,0.26,USD,,,,2.16,GBP,,0.45,USD,,,,,
1520,Dividend,2022-08-22,9:49:20,CAT,Caterpillar,2.0,1.02,USD,,,,1.73,GBP,,0.36,USD,,,,,
1521,Deposit,2022-08-22,21:30:43,,,,,,,,,100.0,GBP,,,,100,GBP,,,
1522,Dividend,2022-08-22,7:27:58,PETS,PetMed Express,132.0,0.26,USD,,,,28.5,GBP,,5.94,USD,,,,,
1523,Dividend,2022-08-22,9:49:20,CAT,Caterpillar,21.0,1.02,USD,,,,18.16,GBP,,3.78,USD,,,,,
1524,Market buy,2022-08-23,13:30:03,OHI,Omega Healthcare Investors,3.0,32.76,USD,1.17763,,GBP,83.59,GBP,,,,,,,,27.818584784694682
1525,Market buy,2022-08-24,13:30:04,GOOD,Gladstone Commercial,4.0,20.2,USD,1.176,,GBP,68.81,GBP,,,,,,,,17.17687074829932
1526,Deposit,2022-08-30,13:07:56,,,,,,,,,1000.0,GBP,,,,1000,GBP,,,
1527,Market buy,2022-08-30,13:30:03,SPG,Simon Property,3.0935249,104.83,USD,1.17139,,GBP,277.27,GBP,,,,,,,,89.49197107709645
1528,Market buy,2022-08-30,13:30:05,HRZN,Horizon Technology Finance,5.0,12.8,USD,1.17138,,GBP,54.72,GBP,,,,,,,,10.927282350731616
1529,Market buy,2022-08-30,13:30:05,NLY,Annaly Capital Management,50.0,6.56,USD,1.17138,,GBP,280.43,GBP,,,,,,,,5.600232204749952
1530,Market buy,2022-08-30,13:30:06,NYMT,New York Mortgage Trust,50.0,2.92,USD,1.17136,,GBP,124.83,GBP,,,,,,,,2.492828848517962
1531,Market buy,2022-08-30,13:30:09,SPG,Simon Property,0.9064751,104.48,USD,1.17138,,GBP,80.97,GBP,,,,,,,,89.19394218784682
1532,Market buy,2022-08-30,13:30:18,RITM,Rithm Capital,24.0,9.79,USD,1.17131,,GBP,200.89,GBP,,,,,,,,8.358163082360774
1533,Dividend,2022-09-01,7:29:44,WELL,Welltower,38.0,0.52,USD,,,,16.96,GBP,,3.48,USD,,,,,
1534,Dividend,2022-09-01,11:43:42,GOOD,Gladstone Commercial,47.0,0.11,USD,,,,4.33,GBP,,0.88,USD,,,,,
1535,Dividend,2022-09-01,12:03:27,LTC,LTC Properties,60.0,0.16,USD,,,,8.37,GBP,,1.71,USD,,,,,
1536,Dividend,2022-09-01,11:43:42,GOOD,Gladstone Commercial,153.0,0.11,USD,,,,14.08,GBP,,2.88,USD,,,,,
1537,Dividend,2022-09-01,12:03:27,LTC,LTC Properties,46.0,0.16,USD,,,,6.42,GBP,,1.31,USD,,,,,
1538,Dividend,2022-09-02,7:54:38,WTRG,Essential Utilities,66.0,0.24,USD,,,,13.92,GBP,,2.84,USD,,,,,
1539,Dividend,2022-09-02,9:16:41,AWR,American States Water,31.0,0.34,USD,,,,9.07,GBP,,1.85,USD,,,,,
1540,Dividend,2022-09-05,9:01:21,HON,Honeywell International,15.0,0.83,USD,,,,10.87,GBP,,2.21,USD,,,,,
1541,Dividend,2022-09-07,8:04:58,JNJ,Johnson & Johnson,7.0,0.96,USD,,,,5.85,GBP,,1.19,USD,,,,,
1542,Dividend,2022-09-07,8:04:58,JNJ,Johnson & Johnson,8.0,0.96,USD,,,,6.68,GBP,,1.36,USD,,,,,
1543,Market buy,2022-09-12,18:15:01,GOOD,Gladstone Commercial,3.0,19.29,USD,1.16907,,GBP,49.57,GBP,,,,,,,,16.500295106366597
1544,Market buy,2022-09-13,16:44:49,RITM,Rithm Capital,5.0,9.12,USD,1.15317,,GBP,39.6,GBP,,,,,,,,7.908634459793438
1545,Dividend,2022-09-13,8:56:43,MMM,3M,19.0,1.27,USD,,,,20.54,GBP,,4.25,USD,,,,,
1546,Dividend,2022-09-13,9:28:23,TGT,Target,27.0,0.92,USD,,,,21.16,GBP,,4.37,USD,,,,,
1547,Market buy,2022-09-13,16:41:55,GOOD,Gladstone Commercial,3.0,18.8,USD,1.15316,,GBP,48.98,GBP,,,,,,,,16.303028200770058
1548,Deposit,2022-09-15,9:24:54,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1549,Market buy,2022-09-15,13:30:03,GOOD,Gladstone Commercial,5.0,18.8,USD,1.14784,,GBP,82.01,GBP,,,,,,,,16.37858935043212
1550,Market buy,2022-09-15,13:30:04,HRZN,Horizon Technology Finance,10.0,12.2,USD,1.14782,,GBP,106.45,GBP,,,,,,,,10.628844243870988
1551,Dividend,2022-09-16,9:40:18,CWEN/A,Clearway Energy,12.0,0.31,USD,,,,3.23,GBP,,0.65,USD,,,,,
1552,Dividend,2022-09-16,10:58:04,HRZN,Horizon Technology Finance,60.0,0.09,USD,,,,4.47,GBP,,0.9,USD,,,,,
1553,Dividend,2022-09-16,11:14:15,O,Realty Income,44.0,0.21,USD,,,,8.11,GBP,,1.63,USD,,,,,
1554,Deposit,2022-09-16,18:07:37,,,,,,,,,100.0,GBP,,,,100,GBP,,,
1555,Market buy,2022-09-16,18:14:57,HRZN,Horizon Technology Finance,10.0,11.65,USD,1.13886,,GBP,102.44,GBP,,,,,,,,10.229527773387423
1556,Dividend,2022-09-16,9:38:19,CWEN,Clearway Energy,103.0,0.31,USD,,,,27.7,GBP,,5.57,USD,,,,,
1557,Dividend,2022-09-16,10:51:42,HD,Home Depot,14.0,1.62,USD,,,,19.82,GBP,,3.99,USD,,,,,
1558,Dividend,2022-09-16,10:58:04,HRZN,Horizon Technology Finance,250.0,0.09,USD,,,,18.62,GBP,,3.75,USD,,,,,
1559,Dividend,2022-09-16,11:14:15,O,Realty Income,30.0,0.21,USD,,,,5.53,GBP,,1.11,USD,,,,,
1560,Dividend,2022-09-16,11:26:35,NEE,NextEra Energy,42.0,0.36,USD,,,,13.3,GBP,,2.68,USD,,,,,
1561,Market buy,2022-09-16,13:30:05,GOOD,Gladstone Commercial,4.0,18.36,USD,1.1395,,GBP,64.55,GBP,,,,,,,,16.112329969284776
1562,Deposit,2022-09-20,20:33:22,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1563,Deposit,2022-09-23,7:16:10,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1564,Dividend,2022-09-23,7:54:01,QCOM,Qualcomm,27.0,0.64,USD,,,,15.39,GBP,,3.04,USD,,,,,
1565,Market buy,2022-09-23,13:30:03,NLY,Annaly Capital Management,10.0,5.81,USD,1.10585,,GBP,52.62,GBP,,,,,,,,5.253877108106885
1566,Market buy,2022-09-23,13:30:06,HRZN,Horizon Technology Finance,20.0,10.94,USD,1.10582,,GBP,198.16,GBP,,,,,,,,9.893110994556075
1567,Market buy,2022-09-23,13:30:10,GOOD,Gladstone Commercial,10.0,16.91,USD,1.10592,,GBP,153.13,GBP,,,,,,,,15.290436921296296
1568,Dividend,2022-09-23,7:54:01,QCOM,Qualcomm,5.0,0.64,USD,,,,2.85,GBP,,0.56,USD,,,,,
1569,Dividend,2022-09-26,7:30:58,WM,Waste Management,10.0,0.55,USD,,,,5.14,GBP,,0.98,USD,,,,,
1570,Dividend,2022-09-26,7:30:58,WM,Waste Management,10.0,0.55,USD,,,,5.14,GBP,,0.98,USD,,,,,
1571,Deposit,2022-09-29,10:08:55,,,,,,,,,1100.0,GBP,,,,1100,GBP,,,
1572,Market buy,2022-09-29,16:26:49,GOOD,Gladstone Commercial,15.0,15.22,USD,1.10709,,GBP,206.53,GBP,,,,,,,,13.747753118535984
1573,Market buy,2022-09-29,16:27:58,HRZN,Horizon Technology Finance,20.0,9.91,USD,1.10602,,GBP,179.47,GBP,,,,,,,,8.96005497188116
1574,Market buy,2022-09-29,16:32:43,NLY,Annaly Capital Management,10.25,17.37,USD,1.10618,,GBP,161.19,GBP,,,,,,,,15.702688531703703
1575,Market buy,2022-09-29,16:34:30,RITM,Rithm Capital,25.0,7.25,USD,1.10649,,GBP,164.05,GBP,,,,,,,,6.5522508111234625
1576,Market buy,2022-09-29,16:36:26,RITM,Rithm Capital,20.0,7.25,USD,1.10754,,GBP,131.12,GBP,,,,,,,,6.546038969247161
1577,Market buy,2022-09-29,16:37:16,NLY,Annaly Capital Management,10.0,17.37,USD,1.1067,,GBP,157.19,GBP,,,,,,,,15.695310382217404
1578,Market buy,2022-09-29,16:38:17,SPG,Simon Property,1.0,90.04,USD,1.10688,,GBP,81.47,GBP,,,,,,,,81.34576467187048
1579,Market buy,2022-09-29,16:44:48,O,Realty Income,1.0,58.35,USD,1.10799,,GBP,52.74,GBP,,,,,,,,52.66293017084992
1580,Market buy,2022-09-29,16:31:32,NLY,Annaly Capital Management,2.25,17.41,USD,1.10621,,GBP,35.46,GBP,,,,,,,,15.738422180237027
1581,Dividend,2022-09-30,9:08:24,PSA,Public Storage,4.0,1.7,USD,,,,6.08,GBP,,1.2,USD,,,,,
1582,Dividend,2022-09-30,9:08:24,PSA,Public Storage,9.0,1.7,USD,,,,13.68,GBP,,2.7,USD,,,,,
1583,Dividend,2022-10-03,12:32:21,AVGO,Broadcom,8.0,3.49,USD,,,,24.86,GBP,,4.92,USD,,,,,
1584,Dividend,2022-10-03,12:53:50,SPG,Simon Property,13.0,1.49,USD,,,,17.22,GBP,,3.41,USD,,,,,
1585,Dividend,2022-10-03,12:57:29,SCI,Service Corp International,14.0,0.21,USD,,,,2.65,GBP,,0.53,USD,,,,,
1586,Dividend,2022-10-03,13:29:00,DLR,Digital Realty Trust,3.0,1.04,USD,,,,2.77,GBP,,0.55,USD,,,,,
1587,Dividend,2022-10-03,14:13:35,MTB,M&T Bank,15.0,1.02,USD,,,,13.58,GBP,,2.7,USD,,,,,
1588,Dividend,2022-10-03,14:24:32,LTC,LTC Properties,60.0,0.16,USD,,,,8.59,GBP,,1.71,USD,,,,,
1589,Dividend,2022-10-03,14:38:47,ICE,Intercontinental Exchange,5.0,0.32,USD,,,,1.43,GBP,,0.29,USD,,,,,
1590,Dividend,2022-10-03,14:43:15,EXR,Extra Space Storage,6.0,1.28,USD,,,,6.79,GBP,,1.35,USD,,,,,
1591,Dividend,2022-10-03,15:08:16,HI,Hillenbrand,2.0,0.18,USD,,,,0.33,GBP,,0.07,USD,,,,,
1592,Market buy,2022-10-03,16:39:59,NLY,Annaly Capital Management,5.0,17.33,USD,1.12691,,GBP,77.01,GBP,,,,,,,,15.378335448261172
1593,Market buy,2022-10-03,16:43:00,RITM,Rithm Capital,2.0,7.09,USD,1.1269,,GBP,12.6,GBP,,,,,,,,6.29159641494365
1594,Dividend,2022-10-03,12:32:21,AVGO,Broadcom,2.0,3.49,USD,,,,6.21,GBP,,1.23,USD,,,,,
1595,Dividend,2022-10-03,12:33:14,UNP,Union Pacific,13.0,1.11,USD,,,,12.81,GBP,,2.54,USD,,,,,
1596,Dividend,2022-10-03,12:53:50,SPG,Simon Property,26.0,1.49,USD,,,,34.43,GBP,,6.83,USD,,,,,
1597,Dividend,2022-10-03,12:57:29,SCI,Service Corp International,37.0,0.21,USD,,,,7.01,GBP,,1.39,USD,,,,,
1598,Dividend,2022-10-03,13:29:00,DLR,Digital Realty Trust,22.0,1.04,USD,,,,20.29,GBP,,4.03,USD,,,,,
1599,Dividend,2022-10-03,14:24:32,LTC,LTC Properties,46.0,0.16,USD,,,,6.59,GBP,,1.31,USD,,,,,
1600,Dividend,2022-10-03,14:38:47,ICE,Intercontinental Exchange,18.0,0.32,USD,,,,5.15,GBP,,1.03,USD,,,,,
1601,Dividend,2022-10-03,14:43:15,EXR,Extra Space Storage,16.0,1.28,USD,,,,18.11,GBP,,3.6,USD,,,,,
1602,Dividend,2022-10-03,15:08:16,HI,Hillenbrand,100.0,0.18,USD,,,,16.37,GBP,,3.26,USD,,,,,
1603,Market buy,2022-10-03,16:41:25,NLY,Annaly Capital Management,8.0,17.34,USD,1.12738,,GBP,123.23,GBP,,,,,,,,15.38079440827405
1604,Market buy,2022-10-03,16:42:13,RITM,Rithm Capital,3.0,7.1,USD,1.12715,,GBP,18.93,GBP,,,,,,,,6.299072882934834
1605,Dividend,2022-10-04,10:10:43,GOOD,Gladstone Commercial,52.0,0.11,USD,,,,4.88,GBP,,0.98,USD,,,,,
1606,Dividend,2022-10-04,8:31:30,NKE,Nike,20.0,0.26,USD,,,,4.56,GBP,,0.92,USD,,,,,
1607,Dividend,2022-10-04,10:10:43,GOOD,Gladstone Commercial,167.0,0.11,USD,,,,15.66,GBP,,3.14,USD,,,,,
1608,Dividend,2022-10-06,8:04:42,STX,Seagate Technology,6.0,0.53,USD,,,,2.78,GBP,,1.05,USD,,,,,
1609,Dividend,2022-10-06,8:04:42,STX,Seagate Technology,27.0,0.53,USD,,,,12.52,GBP,,4.73,USD,,,,,
1610,Dividend,2022-10-10,7:45:48,MRK,Merck & Co,22.0,0.59,USD,,,,11.65,GBP,,2.28,USD,,,,,
1611,Dividend,2022-10-10,7:45:48,MRK,Merck & Co,24.0,0.59,USD,,,,12.71,GBP,,2.48,USD,,,,,
1612,Dividend,2022-10-12,7:29:40,HASI,Hannon Armstrong Sustainable Infrastructure Capital,19.0,0.32,USD,,,,5.5,GBP,,1.07,USD,,,,,
1613,Dividend,2022-10-12,7:29:40,HASI,Hannon Armstrong Sustainable Infrastructure Capital,93.0,0.32,USD,,,,26.9,GBP,,5.23,USD,,,,,
1614,Market buy,2022-10-13,17:41:39,GOOD,Gladstone Commercial,5.0,15.75,USD,1.13423,,GBP,69.53,GBP,,,,,,,,13.886072489706672
1615,Deposit,2022-10-17,2:00:18,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1616,Dividend,2022-10-17,8:22:10,O,Realty Income,45.0,0.21,USD,,,,8.43,GBP,,1.67,USD,,,,,
1617,Dividend,2022-10-17,9:08:28,HRZN,Horizon Technology Finance,75.0,0.09,USD,,,,5.65,GBP,,1.13,USD,,,,,
1618,Market buy,2022-10-17,15:49:44,GOOD,Gladstone Commercial,7.0,16.23,USD,1.14223,,GBP,99.61,GBP,,,,,,,,14.209047214659044
1619,Market buy,2022-10-17,15:52:46,HRZN,Horizon Technology Finance,15.0,10.68,USD,1.14285,,GBP,140.38,GBP,,,,,,,,9.345058406615042
1620,Dividend,2022-10-17,8:22:10,O,Realty Income,30.0,0.21,USD,,,,5.62,GBP,,1.12,USD,,,,,
1621,Dividend,2022-10-17,9:04:18,MDT,Medtronic,24.0,0.51,USD,,,,10.86,GBP,,4.08,USD,,,,,
1622,Dividend,2022-10-17,9:08:28,HRZN,Horizon Technology Finance,250.0,0.09,USD,,,,18.85,GBP,,3.75,USD,,,,,
1623,Dividend,2022-10-18,7:56:41,STOR,STORE Capital,40.0,0.35,USD,,,,12.29,GBP,,2.46,USD,,,,,
1624,Dividend,2022-10-18,7:56:41,STOR,STORE Capital,108.0,0.35,USD,,,,33.19,GBP,,6.64,USD,,,,,
1625,Dividend,2022-10-18,11:52:30,ECL,Ecolab,11.0,0.43,USD,,,,4.22,GBP,,0.84,USD,,,,,
1626,Market buy,2022-10-19,13:30:05,HRZN,Horizon Technology Finance,6.0,10.9,USD,1.1257,,GBP,58.19,GBP,,,,,,,,9.682863995735987
1627,Deposit,2022-10-22,17:45:56,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1628,Market buy,2022-10-24,14:13:27,GOOD,Gladstone Commercial,14.0,16.52,USD,1.12941,,GBP,205.09,GBP,,,,,,,,14.627106188186751
1629,Dividend,2022-10-27,9:07:11,NYMT,New York Mortgage Trust,375.0,0.09,USD,,,,27.51,GBP,,5.63,USD,,,,,
1630,Dividend,2022-10-27,9:06:09,AMT,American Tower,13.0,1.25,USD,,,,14.02,GBP,,2.87,USD,,,,,
1631,Dividend,2022-10-27,9:07:11,NYMT,New York Mortgage Trust,863.0,0.09,USD,,,,63.31,GBP,,12.95,USD,,,,,
1632,Dividend,2022-10-27,9:12:12,CMCSA,Comcast,50.0,0.23,USD,,,,9.91,GBP,,2.03,USD,,,,,
1633,Market buy,2022-10-27,13:30:04,LTC,LTC Properties,1.0,40.0,USD,1.15714,,GBP,34.62,GBP,,,,,,,,34.5679865876212
1634,Market buy,2022-10-27,13:30:09,O,Realty Income,1.0,61.14,USD,1.15757,,GBP,52.9,GBP,,,,,,,,52.81754019195384
1635,Deposit,2022-10-28,8:58:36,,,,,,,,,1300.0,GBP,,,,1300,GBP,,,
1636,Market buy,2022-10-28,13:30:02,HASI,Hannon Armstrong Sustainable Infrastructure Capital,10.0,26.97,USD,1.15489,,GBP,233.88,GBP,,,,,,,,23.352873433833526
1637,Market buy,2022-10-28,13:30:04,QCOM,Qualcomm,4.5650542,114.32,USD,1.15493,,GBP,452.55,GBP,,,,,,,,98.98435403011437
1638,Market buy,2022-10-28,13:30:04,DLR,Digital Realty Trust,5.0,100.3,USD,1.15493,,GBP,434.88,GBP,,,,,,,,86.84509017862554
1639,Market buy,2022-10-28,13:30:04,CWEN/A,Clearway Energy,6.0,32.05,USD,1.15492,,GBP,166.75,GBP,,,,,,,,27.75083988501368
1640,Market buy,2022-10-28,13:30:07,QCOM,Qualcomm,0.4349458,114.36,USD,1.15496,,GBP,43.13,GBP,,,,,,,,99.01641615294037
1641,Dividend,2022-10-31,8:58:06,RITM,Rithm Capital,100.0,0.21,USD,,,,18.41,GBP,,3.75,USD,,,,,
1642,Dividend,2022-10-31,8:58:06,RITM,Rithm Capital,320.0,0.21,USD,,,,58.9,GBP,,12.0,USD,,,,,
1643,Market buy,2022-10-31,14:26:26,OHI,Omega Healthcare Investors,2.0,31.77,USD,1.1503,,GBP,55.32,GBP,,,,,,,,27.61888203077458
1644,Dividend,2022-11-01,12:59:14,NLY,Annaly Capital Management,36.75,0.75,USD,,,,23.8,GBP,,4.85,USD,,,,,
1645,Dividend,2022-11-01,13:14:17,LTC,LTC Properties,60.0,0.16,USD,,,,8.38,GBP,,1.71,USD,,,,,
1646,Dividend,2022-11-01,13:24:32,JPM,JPMorgan Chase & Co,6.0,0.85,USD,,,,4.41,GBP,,0.9,USD,,,,,
1647,Dividend,2022-11-01,13:45:58,GOOD,Gladstone Commercial,84.0,0.11,USD,,,,7.75,GBP,,1.58,USD,,,,,
1648,Market buy,2022-11-01,16:49:03,OHI,Omega Healthcare Investors,2.0,31.84,USD,1.14504,,GBP,55.69,GBP,,,,,,,,27.806888842311185
1649,Dividend,2022-11-01,12:59:14,NLY,Annaly Capital Management,115.75,0.75,USD,,,,74.96,GBP,,15.28,USD,,,,,
1650,Dividend,2022-11-01,13:14:17,LTC,LTC Properties,46.0,0.16,USD,,,,6.43,GBP,,1.31,USD,,,,,
1651,Dividend,2022-11-01,13:24:32,JPM,JPMorgan Chase & Co,16.0,0.85,USD,,,,11.77,GBP,,2.4,USD,,,,,
1652,Dividend,2022-11-01,13:45:58,GOOD,Gladstone Commercial,172.0,0.11,USD,,,,15.88,GBP,,3.24,USD,,,,,
1653,Market buy,2022-11-01,16:48:13,OHI,Omega Healthcare Investors,4.0,31.84,USD,1.14509,,GBP,111.39,GBP,,,,,,,,27.80567466312692
1654,Dividend,2022-11-02,15:37:50,T,AT&T,78.0,0.24,USD,,,,15.98,GBP,,3.25,USD,,,,,
1655,Market sell,2022-11-09,14:48:18,SEDG,SolarEdge Technologies,2.0,265.01,USD,1.14008,115.18,GBP,464.2,GBP,,,,,,,,232.44860009823873
1656,Market sell,2022-11-09,14:49:24,SEDG,SolarEdge Technologies,2.0,263.0,USD,1.13992,111.73,GBP,460.75,GBP,,,,,,,,230.7179451189557
1657,Market buy,2022-11-09,14:51:38,DLR,Digital Realty Trust,6.0,98.16,USD,1.13918,,GBP,517.78,GBP,,,,,,,,86.16724310468933
1658,Market buy,2022-11-09,14:53:05,DLR,Digital Realty Trust,4.0,98.27,USD,1.1392,,GBP,345.57,GBP,,,,,,,,86.26228932584269
1659,Market buy,2022-11-09,14:55:17,WELL,Welltower,1.0,67.07,USD,1.13927,,GBP,58.96,GBP,,,,,,,,58.87103144996357
1660,Dividend,2022-11-11,13:50:28,AAPL,Apple,12.0,0.2,USD,,,,1.99,GBP,,0.41,USD,,,,,
1661,Dividend,2022-11-11,14:25:50,COST,Costco Wholesale,4.0,0.77,USD,,,,2.61,GBP,,0.54,USD,,,,,
1662,Dividend,2022-11-11,14:43:29,SBNY,Signature Bank,14.0,0.48,USD,,,,5.68,GBP,,1.18,USD,,,,,
1663,Dividend,2022-11-11,13:50:28,AAPL,Apple,25.0,0.2,USD,,,,4.15,GBP,,0.86,USD,,,,,
1664,Dividend,2022-11-11,14:25:50,COST,Costco Wholesale,6.0,0.77,USD,,,,3.91,GBP,,0.81,USD,,,,,
1665,Dividend,2022-11-11,14:43:29,SBNY,Signature Bank,5.0,0.48,USD,,,,2.03,GBP,,0.42,USD,,,,,
1666,Deposit,2022-11-15,12:43:31,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1667,Market buy,2022-11-15,14:30:07,PETS,PetMed Express,12.0,21.29,USD,1.19594,,GBP,213.94,GBP,,,,,,,,17.80189641620817
1668,Market buy,2022-11-15,14:30:07,PETS,PetMed Express,2.0,21.29,USD,1.1961,,GBP,35.65,GBP,,,,,,,,17.79951509071148
1669,Dividend,2022-11-16,16:04:00,OHI,Omega Healthcare Investors,13.0,0.57,USD,,,,6.24,GBP,,1.31,USD,,,,,
1670,Dividend,2022-11-16,16:04:44,O,Realty Income,45.0,0.21,USD,,,,7.99,GBP,,1.67,USD,,,,,
1671,Dividend,2022-11-16,16:13:57,HRZN,Horizon Technology Finance,125.0,0.09,USD,,,,8.95,GBP,,1.88,USD,,,,,
1672,Dividend,2022-11-16,16:24:18,ABBV,AbbVie,7.0,1.2,USD,,,,7.07,GBP,,1.48,USD,,,,,
1673,Market buy,2022-11-16,17:48:54,OHI,Omega Healthcare Investors,1.0,30.44,USD,1.19019,,GBP,25.62,GBP,,,,,,,,25.575748409917743
1674,Dividend,2022-11-16,16:04:00,OHI,Omega Healthcare Investors,88.0,0.57,USD,,,,42.21,GBP,,8.84,USD,,,,,
1675,Dividend,2022-11-16,16:04:44,O,Realty Income,31.0,0.21,USD,,,,5.5,GBP,,1.15,USD,,,,,
1676,Dividend,2022-11-16,16:13:57,HRZN,Horizon Technology Finance,250.0,0.09,USD,,,,17.91,GBP,,3.75,USD,,,,,
1677,Dividend,2022-11-16,16:20:21,AOS,A O Smith,74.0,0.26,USD,,,,15.91,GBP,,3.33,USD,,,,,
1678,Dividend,2022-11-16,16:24:18,ABBV,AbbVie,22.0,1.2,USD,,,,22.21,GBP,,4.65,USD,,,,,
1679,Market buy,2022-11-16,17:47:58,OHI,Omega Healthcare Investors,4.0,30.42,USD,1.19006,,GBP,102.4,GBP,,,,,,,,25.561736383039513
1680,Deposit,2022-11-21,12:38:59,,,,,,,,,200.0,GBP,,,,200,GBP,,,
